entry_id,old_billing_sku,old_kms,new_billing_sku,new_kms
1428,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1429,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1430,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1431,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1432,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1433,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1434,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1435,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1436,"Good Farmer-17-PNB-PNB",132.40,"Good Farmer-17-PNB-DVO",178.40
1447,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1461,Farmind-18-DVO-PNB,169.40,Farmind-18-DVO-DVO,202.00
2752,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2755,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2807,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2751,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2782,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
1529,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1532,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1535,"Good Farmer-11-PNB-PNB",167.40,"Good Farmer-11-DVO-DVO",213.40
1537,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1538,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
1550,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1556,"Good Farmer-1-PNB-PNB",107.00,"Good Farmer-1-DVO-PNB",143.00
1557,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1559,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1561,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1562,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2765,"TDC - CLASS B-SVT-PNB-PNB",10.00,"TDC - CLASS B-SVT-DVO-DVO",76.00
1590,"Good Farmer-17-PNB-PNB",132.40,"Good Farmer-17-DVO-DVO",178.40
2697,ABC-Pantukan-PNB-PNB,130.00,ABC-Pantukan-DVO-DVO,185.00
2846,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1694,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1697,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1700,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1701,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2770,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2848,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1732,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1733,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1756,"Good Farmer-9-PNB-PNB",163.90,"Good Farmer-9-DVO-PNB",186.90
1782,"Good Farmer-17-PNB-PNB",132.40,"Good Farmer-17-PNB-DVO",178.40
1784,"Good Farmer-2-PNB-PNB",129.20,"Good Farmer-2-DVO-DVO",161.60
1839,"Good Farmer-18-PNB-PNB",146.40,"Good Farmer-18-PNB-DVO",192.40
1840,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
1842,"Good Farmer-15-PNB-PNB",149.90,"Good Farmer-15-PNB-DVO",114.60
1851,"Good Farmer-15-PNB-PNB",149.90,"Good Farmer-15-PNB-DVO",114.60
1855,Farmind-18-DVO-PNB,169.40,Farmind-18-DVO-DVO,202.00
1862,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1872,Farmind-18-DVO-PNB,169.40,Farmind-18-DVO-DVO,202.00
1873,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-PNB,143.00
1875,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1943,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1955,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
